code	main_type	name	tissue
BFN	Breast Sarcoma	Breast Fibroepithelial Neoplasms	Breast
BGCT	Germ Cell Tumor	Germ Cell Tumor, Brain	CNS/Brain
BIALCL	Mature T and NK Neoplasms	Breast Implant-Associated Anaplastic Large-Cell Lymphoma	Lymphoid
BILIARY_TRACT	Biliary Tract Cancer, NOS	Biliary Tract	Biliary Tract
BIMT	Germ Cell Tumor	Immature Teratoma	CNS/Brain
BL	Mature B-Cell Neoplasms	Burkitt Lymphoma	Lymphoid
BLAD	Bladder Cancer	Bladder Adenocarcinoma	Bladder/Urinary Tract
BLADDER	Bladder/Urinary Tract Cancer, NOS	Bladder/Urinary Tract	Bladder/Urinary Tract
BLCA	Bladder Cancer	Bladder Urothelial Carcinoma	Bladder/Urinary Tract
BLCLC	Non-Small Cell Lung Cancer	Basaloid Large Cell Carcinoma of the Lung	Lung
BLL	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid
BLL11Q	Mature B-Cell Neoplasms	Burkitt-Like Lymphoma with 11q Aberration	Lymphoid
BLLBCRABL1	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1	Lymphoid
BLLBCRABL1L	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma, BCR-ABL1 Like	Lymphoid
BLLETV6RUNX1	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	Lymphoid
BLLHYPER	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy	Lymphoid
BLLHYPO	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy	Lymphoid
BLLIAMP21	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with iAMP21	Lymphoid
BLLIL3IGH	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH	Lymphoid
BLLKMT2A	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged	Lymphoid
BLLNOS	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma, NOS	Lymphoid
BLLRGA	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities	Lymphoid
BLLTCF3PBX1	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1	Lymphoid
BLPT	Breast Sarcoma	Borderline Phyllodes Tumor of the Breast	Breast
BLSC	Bladder Cancer	Bladder Squamous Cell Carcinoma	Bladder/Urinary Tract
BMGCT	Germ Cell Tumor	Mixed Germ Cell Tumor	CNS/Brain
BMGT	Germ Cell Tumor	Malignant Teratoma	CNS/Brain
BMT	Germ Cell Tumor	Mature Teratoma	CNS/Brain
BNNOS	Breast Cancer	Breast Neoplasm, NOS	Breast
BONE	Bone Cancer, NOS	Bone	Bone
BOWEL	Bowel Cancer, NOS	Bowel	Bowel
BPDCN	Blastic Plasmacytoid Dendritic Cell Neoplasm	Blastic Plasmacytoid Dendritic Cell Neoplasm	Myeloid
BPLL	Mature B-Cell Neoplasms	B-Cell Prolymphocytic Leukemia	Lymphoid
BPSCC	Penile Cancer	Basaloid Penile Squamous Cell Carcinoma	Penis
BPT	Breast Sarcoma	Benign Phyllodes Tumor of the Breast	Breast
BRAIN	CNS/Brain Cancer, NOS	CNS/Brain	CNS/Brain
BRAME	Breast Cancer	Adenomyoepithelioma of the Breast	Breast
BRCA	Breast Cancer	Invasive Breast Carcinoma	Breast
BRCANOS	Breast Cancer	Breast Invasive Cancer, NOS	Breast
BRCNOS	Breast Cancer	Breast Invasive Carcinoma, NOS	Breast
BREAST	Breast Cancer, NOS	Breast	Breast
BRSRCC	Breast Cancer	Breast Carcinoma with Signet Ring	Breast
BTBEOV	Ovarian Cancer	Brenner Tumor, Benign	Ovary/Fallopian Tube
BTBOV	Ovarian Cancer	Brenner Tumor, Borderline	Ovary/Fallopian Tube
BTMOV	Ovarian Cancer	Brenner Tumor, Malignant	Ovary/Fallopian Tube
BTOV	Ovarian Cancer	Brenner Tumor	Ovary/Fallopian Tube
BYST	Germ Cell Tumor	Yolk Sac Tumor	CNS/Brain
CABC	Cervical Cancer	Cervical Adenoid Basal Carcinoma	Cervix
CACC	Cervical Cancer	Cervical Adenoid Cystic Carcinoma	Cervix
CAIS	Colorectal Cancer	Colon Adenocarcinoma In Situ	Bowel
CCBOV	Ovarian Cancer	Clear Cell Borderline Ovarian Tumor	Ovary/Fallopian Tube
CCE	CNS Cancer	Clear Cell Ependymoma	CNS/Brain
CCHDM	Bone Cancer	Conventional Type Chordoma	Bone
CCHM	Breast Cancer	Carcinoma with Chondroid Metaplasia	Breast
CCLC	Non-Small Cell Lung Cancer	Clear Cell Carcinoma of the Lung	Lung
CCM	CNS Cancer	Clear cell Meningioma	CNS/Brain
CCOC	Head and Neck Cancer	Clear Cell Odontogenic Carcinoma	Head and Neck
CCOV	Ovarian Cancer	Clear Cell Ovarian Cancer	Ovary/Fallopian Tube
CCPRC	Renal Cell Carcinoma	Clear Cell Papillary Renal Cell Carcinoma	Kidney
CCRCC	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	Kidney
CCS	Soft Tissue Sarcoma	Clear Cell Sarcoma	Soft Tissue
CDRCC	Renal Cell Carcinoma	Collecting Duct Renal Cell Carcinoma	Kidney
CEAD	Cervical Cancer	Cervical Adenocarcinoma	Cervix
CEAIS	Cervical Cancer	Cervical Adenocarcinoma In Situ	Cervix
CEAS	Cervical Cancer	Cervical Adenosquamous Carcinoma	Cervix
CECC	Cervical Cancer	Cervical Clear Cell Carcinoma	Cervix
CEEN	Cervical Cancer	Cervical Endometrioid Carcinoma	Cervix
CEGCC	Cervical Cancer	Glassy Cell Carcinoma of the Cervix	Cervix
CELI	Cervical Cancer	Cervical Leiomyosarcoma	Cervix
CELNOS	Myeloproliferative Neoplasms	Chronic Eosinophilic Leukemia, NOS	Myeloid
CEMN	Cervical Cancer	Mesonephric Carcinoma	Cervix
CEMU	Cervical Cancer	Mucinous Carcinoma	Cervix
CENE	Cervical Cancer	Cervical Neuroendocrine Tumor	Cervix
CERMS	Cervical Cancer	Cervical Rhabdomyosarcoma	Cervix
CERVIX	Cervical Cancer, NOS	Cervix	Cervix
CESC	Cervical Cancer	Cervical Squamous Cell Carcinoma	Cervix
CESE	Cervical Cancer	Cervical Serous Carcinoma	Cervix
CEVG	Cervical Cancer	Villoglandular Carcinoma	Cervix
CHBL	Bone Cancer	Chondroblastoma	Bone
CHDM	Bone Cancer	Chordoma	Bone
CHGL	Miscellaneous Neuroepithelial Tumor	Chordoid Glioma of the Third Ventricle	CNS/Brain
CHL	Hodgkin Lymphoma	Classical Hodgkin Lymphoma	Lymphoid
CHLPTLD	Posttransplant Lymphoproliferative Disorders	Classical Hodgkin Lymphoma PTLD	Lymphoid
CHM	Gestational Trophoblastic Disease	Complete Hydatidiform Mole	Uterus
CHOL	Hepatobiliary Cancer	Cholangiocarcinoma	Biliary Tract
CHOM	CNS Cancer	Chordoid Meningioma	CNS/Brain
CHOS	Bone Cancer	Chondroblastic Osteosarcoma	Bone
CHRCC	Renal Cell Carcinoma	Chromophobe Renal Cell Carcinoma	Kidney
CHS	Bone Cancer	Chondrosarcoma	Bone
CLLSLL	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	Lymphoid
CLNC	Miscellaneous Neuroepithelial Tumor	Cerebellar Liponeurocytoma	CNS/Brain
CLPDNK	Mature T and NK Neoplasms	Chronic Lymphoproliferative Disorder of NK Cells	Lymphoid
CM	Melanoma	Conjunctival Melanoma	Eye
CMC	Colorectal Cancer	Medullary Carcinoma of the Colon	Bowel
CMCD	Mastocytosis	Cutaneous Mastocytosis	Myeloid
CML	Myeloproliferative Neoplasms	Chronic Myelogenous Leukemia	Myeloid
CMLBCRABL1	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	Myeloid
CMML	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia	Myeloid
CMML0	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia-0	Myeloid
CMML1	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia-1	Myeloid
CMML2	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia-2	Myeloid
CMPT	Non-Small Cell Lung Cancer	Ciliated Muconodular Papillary Tumor of the Lung	Lung
CNC	Miscellaneous Neuroepithelial Tumor	Central Neurocytoma	CNS/Brain
CNL	Myeloproliferative Neoplasms	Chronic Neutrophilic Leukemia	Myeloid
COAD	Colorectal Cancer	Colon Adenocarcinoma	Bowel
COADREAD	Colorectal Cancer	Colorectal Adenocarcinoma	Bowel
COM	Breast Cancer	Carcinoma with Osseous Metaplasia	Breast
CPC	Choroid Plexus Tumor	Choroid Plexus Carcinoma	CNS/Brain
CPP	Choroid Plexus Tumor	Choroid Plexus Papilloma	CNS/Brain
CPT	Choroid Plexus Tumor	Choroid Plexus Tumor	CNS/Brain
CSCC	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	Skin
CSCHW	Nerve Sheath Tumor	Cellular Schwannoma	Peripheral Nervous System
CSCLC	Small Cell Lung Cancer	Combined Small Cell Lung Carcinoma	Lung
CSNOS	Breast Cancer	Breast Invasive Carcinosarcoma, NOS	Breast
CTAAP	Appendiceal Cancer	Colonic Type Adenocarcinoma of the Appendix	Bowel
CUP	Cancer of Unknown Primary	Cancer of Unknown Primary	Other
CUPNOS	Cancer of Unknown Primary	Cancer of Unknown Primary, NOS	Other
DA	Small Bowel Cancer	Duodenal Adenocarcinoma	Bowel
DASTR	Glioma	Diffuse Astrocytoma	CNS/Brain
DCIS	Breast Cancer	Breast Ductal Carcinoma In Situ	Breast
DCS	Soft Tissue Sarcoma	Dendritic Cell Sarcoma	Soft Tissue
DDCHDM	Bone Cancer	Dedifferentiated Chordoma	Bone
DDCHS	Bone Cancer	Dedifferentiated Chondrosarcoma	Bone
DDLS	Soft Tissue Sarcoma	Dedifferentiated Liposarcoma	Soft Tissue
DES	Soft Tissue Sarcoma	Desmoid/Aggressive Fibromatosis	Soft Tissue
DESM	Melanoma	Desmoplastic Melanoma	Skin
DF	Skin Cancer, Non-Melanoma	Dermatofibroma	Skin
DFL	Mature B-Cell Neoplasms	Duodenal-Type Follicular Lymphoma	Lymphoid
DFSP	Skin Cancer, Non-Melanoma	Dermatofibrosarcoma Protuberans	Skin
DIA	Miscellaneous Neuroepithelial Tumor	Desmoplastic Infantile Astrocytoma	CNS/Brain
DIFG	Glioma	Diffuse Glioma	CNS/Brain
DIG	Miscellaneous Neuroepithelial Tumor	Desmoplastic Infantile Ganglioglioma	CNS/Brain
DIPG	Glioma	Diffuse Intrinsic Pontine Glioma	CNS/Brain
DLBCLCI	Mature B-Cell Neoplasms	DLBCL Associated with Chronic Inflammation	Lymphoid
DLBCLNOS	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	Lymphoid
DMBL	Embryonal Tumor	Desmoplastic/Nodular Medulloblastoma	CNS/Brain
DNT	Glioma	Dysembryoplastic Neuroepithelial Tumor	CNS/Brain
DSRCT	Soft Tissue Sarcoma	Desmoplastic Small-Round-Cell Tumor	Soft Tissue
DSTAD	Esophagogastric Cancer	Diffuse Type Stomach Adenocarcinoma	Esophagus/Stomach
DTE	Skin Cancer, Non-Melanoma	Desmoplastic Trichoepithelioma	Skin
EATL	Mature T and NK Neoplasms	Enteropathy-Associated T-Cell Lymphoma	Lymphoid
EBOV	Ovarian Cancer	Endometrioid Borderlin Ovarian Tumor	Ovary/Fallopian Tube
EBVDLBCLNOS	Mature B-Cell Neoplasms	EBV Positive DLBCL, NOS	Lymphoid
EBVMCU	Mature B-Cell Neoplasms	EBV Positive Mucocutaneous Ulcer	Lymphoid
ECAD	Cervical Cancer	Endocervical Adenocarcinoma	Cervix
ECD	Histiocytosis	Erdheim-Chester Disease	Myeloid
EGC	Esophagogastric Cancer	Esophagogastric Adenocarcinoma	Esophagus/Stomach
EHAE	Soft Tissue Sarcoma	Epithelioid Hemangioendothelioma	Soft Tissue
EHCH	Hepatobiliary Cancer	Extrahepatic Cholangiocarcinoma	Biliary Tract
EMALT	Mature B-Cell Neoplasms	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	Lymphoid
EMBC	Breast Cancer	Epithelial Type Metaplastic Breast Cancer	Breast
EMBCA	Germ Cell Tumor	Embryonal Carcinoma	Testis
EMBT	Embryonal Tumor	Embryonal Tumor	CNS/Brain
EMCHS	Bone Cancer	Extraskeletal Myxoid Chondrosarcoma	Bone
EMPD	Skin Cancer, Non-Melanoma	Extramammary Paget Disease	Skin
EMPSGC	Skin Cancer, Non-Melanoma	Endocrine Mucin Producing Sweat Gland Carcinoma	Skin
EMYOCA	Head and Neck Cancer	Epithelial-Myoepithelial Carcinoma	Head and Neck
ENCG	Glioma	Encapsulated Glioma	CNS/Brain
ENKL	Mature T and NK Neoplasms	Extranodal NK-/T-Cell Lymphoma, Nasal Type	Lymphoid
EOV	Ovarian Cancer	Endometrioid Ovarian Cancer	Ovary/Fallopian Tube
EP	Mature B-Cell Neoplasms	Extraosseous Plasmacytoma	Lymphoid
EPDCA	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	Esophagus/Stomach
EPIS	Soft Tissue Sarcoma	Epithelioid Sarcoma	Soft Tissue
EPM	CNS Cancer	Ependymoma	CNS/Brain
EPMT	CNS Cancer	Ependymomal Tumor	CNS/Brain
ERMS	Soft Tissue Sarcoma	Embryonal Rhabdomyosarcoma	Soft Tissue
ES	Bone Cancer	Ewing Sarcoma	Bone
ESCA	Esophagogastric Cancer	Esophageal Adenocarcinoma	Esophagus/Stomach
ESCC	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	Esophagus/Stomach
ESMM	Melanoma	Mucosal Melanoma of the Esophagus	Esophagus/Stomach
ESS	Uterine Sarcoma	Endometrial Stromal Sarcoma	Uterus
ET	Myeloproliferative Neoplasms	Essential Thrombocythemia	Myeloid
ETANTR	Embryonal Tumor	Embryonal Tumor with Abundant Neuropil and True Rosettes	CNS/Brain
ETMF	Myeloproliferative Neoplasms	Essential Thrombocythemia Myelofibrosis	Myeloid
ETPLL	T-Lymphoblastic Leukemia/Lymphoma	Early T-Cell Precursor Lymphoblastic Leukemia	Lymphoid
ETT	Gestational Trophoblastic Disease	Epithelioid Trophoblastic Tumor	Uterus
EVN	Miscellaneous Neuroepithelial Tumor	Extraventricular Neurocytoma	CNS/Brain
EYE	Eye Cancer, NOS	Eye	Eye
FA	Breast Sarcoma	Fibroadenoma	Breast
FDCS	Soft Tissue Sarcoma	Follicular Dendritic Cell Sarcoma	Myeloid
FHPTLD	Posttransplant Lymphoproliferative Disorders	Florid Follicular Hyperplasia PTLD	Lymphoid
FHRCC	Renal Cell Carcinoma	FH-Deficient Renal Cell Carcinoma	Kidney
FIBS	Soft Tissue Sarcoma	Fibrosarcoma	Soft Tissue
FIOS	Bone Cancer	Fibroblastic Osteosarcoma	Bone
FL	Mature B-Cell Neoplasms	Follicular Lymphoma	Lymphoid
FLC	Hepatobiliary Cancer	Fibrolamellar Carcinoma	Liver
FRCT	Histiocytosis	Fibroblastic Reticular Cell Tumor	Myeloid
FT	Sex Cord Stromal Tumor	Fibrothecoma	Ovary/Fallopian Tube
FTCL	Mature T and NK Neoplasms	Follicular T-Cell Lymphoma	Lymphoid
GB	Glioma	Glioblastoma	CNS/Brain
GBAD	Hepatobiliary Cancer	Gallbladder Adenocarcinoma, NOS	Biliary Tract
GBASC	Hepatobiliary Cancer	Adenosquamous Carcinoma of the Gallbladder	Biliary Tract
GBC	Hepatobiliary Cancer	Gallbladder Cancer	Biliary Tract
GBM	Glioma	Glioblastoma Multiforme	CNS/Brain
GCB	Mature B-Cell Neoplasms	Germinal Center B-Cell Type	Lymphoid
GCCAP	Appendiceal Cancer	Goblet Cell Carcinoid of the Appendix	Bowel
GCEMU	Cervical Cancer	Gastric Type Mucinous Carcinoma	Cervix
GCLC	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung	Lung
GCT	Sellar Tumor	Granular Cell Tumor	CNS/Brain
GCTB	Bone Cancer	Giant Cell Tumor of Bone	Bone
GEJ	Esophagogastric Cancer	Adenocarcinoma of the Gastroesophageal Junction	Esophagus/Stomach
GHCD	Mature B-Cell Neoplasms	Gamma Heavy-Chain Disease	Lymphoid
GINET	Gastrointestinal Neuroendocrine Tumor	Gastrointestinal Neuroendocrine Tumors	Bowel
GIST	Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor	Soft Tissue
GMN	Germ Cell Tumor	Germinoma	CNS/Brain
GN	Peripheral Nervous System	Ganglioneuroma	Peripheral Nervous System
GNBL	Peripheral Nervous System	Ganglioneuroblastoma	Peripheral Nervous System
GNC	Glioma	Gangliocytoma	CNS/Brain
GNG	Glioma	Ganglioglioma	CNS/Brain
GNOS	Glioma	Glioma, NOS	CNS/Brain
GRC	Esophagogastric Cancer	Gastric Remnant Adenocarcinoma	Esophagus/Stomach
GRCT	Sex Cord Stromal Tumor	Granulosa Cell Tumor	Ovary/Fallopian Tube
GS	Soft Tissue Sarcoma	Glomangiosarcoma	Soft Tissue
GSARC	Glioma	Gliosarcoma	CNS/Brain
GTD	Gestational Trophoblastic Disease	Gestational Trophoblastic Disease	Uterus
HCC	Hepatobiliary Cancer	Hepatocellular Carcinoma	Liver
HCCIHCH	Hepatobiliary Cancer	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Liver
HCL	Mature B-Cell Neoplasms	Hairy Cell Leukemia	Lymphoid
HCL-V	Mature B-Cell Neoplasms	Hairy Cell Leukemia-Variant	Lymphoid
HDCN	Histiocytosis	Histiocytic and Dendritic Cell Neoplasms	Myeloid
HDCS	Soft Tissue Sarcoma	Histiocytic Dendritic Cell Sarcoma	Soft Tissue
HEAD_NECK	Head and Neck Cancer, NOS	Head and Neck	Head and Neck
HEMA	Soft Tissue Sarcoma	Hemangioma	Soft Tissue
HGBCL	Mature B-Cell Neoplasms	High-Grade B-Cell Lymphoma, NOS	Lymphoid
HGBCLMYCBCL2	Mature B-Cell Neoplasms	High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements	Lymphoid
HGESS	Uterine Sarcoma	High-Grade Endometrial Stromal Sarcoma	Uterus
HGGNOS	Glioma	High-Grade Glioma, NOS	CNS/Brain
HGNEC	Gastrointestinal Neuroendocrine Tumor	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	Bowel
HGNET	Miscellaneous Brain Tumor	High-Grade Neuroepithelial Tumor	CNS/Brain
HGONEC	Ovarian Cancer	High-Grade Neuroendocrine Carcinoma of the Ovary	Ovary/Fallopian Tube
HGSFT	Ovarian Cancer	High-Grade Serous Fallopian Tube Cancer	Ovary/Fallopian Tube
HGSOC	Ovarian Cancer	High-Grade Serous Ovarian Cancer	Ovary/Fallopian Tube
HGSOS	Bone Cancer	High-Grade Surface Osteosarcoma	Bone
HHV8DLBCL	Mature B-Cell Neoplasms	HHV8 Positive DLBCL, NOS	Lymphoid
HL	Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid
HMBL	Miscellaneous Brain Tumor	Hemangioblastoma	CNS/Brain
HNMASC	Salivary Gland Cancer	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	Head and Neck
HNMUCM	Melanoma	Head and Neck Mucosal Melanoma	Head and Neck
HNNE	Head and Neck Cancer	Head and Neck Neuroendocrine Carcinoma	Head and Neck
HNSC	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	Head and Neck
HNSCUP	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma of Unknown Primary	Head and Neck
HPCCNS	CNS Cancer	Hemangiopericytoma of the Central Nervous System	CNS/Brain
HPHSC	Head and Neck Cancer	Hypopharynx Squamous Cell Carcinoma	Head and Neck
HS	Histiocytosis	Histiocytic Sarcoma	Myeloid
HSTCL	Mature T and NK Neoplasms	Hepatosplenic T-cell Lymphoma	Lymphoid
HTAT	Thyroid Cancer	Hyalinizing Trabecular Adenoma of the Thyroid	Thyroid
HVLL	Mature T and NK Neoplasms	Hydroa Vacciniforme Like Lymphoproliferative Disorder	Lymphoid
IAMPCA	Ampullary Carcinoma	Intestinal Ampullary Carcinoma	Ampulla of Vater
IBC	Breast Cancer	Inflammatory Breast Cancer	Breast
ICEMU	Cervical Cancer	Intestinal Type Mucinous Carcinoma	Cervix
