feature	alteration_type	alteration	model_id	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
BTK	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
CAMTA1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
CASP9	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
CBL	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	1	1
CBLC	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	0
CCNB1IP1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
CCND2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
CDC73	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
CDKN1B	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	1	1
CDKN2A	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Preclinical	1	0	1	1	1	1
CHD4	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
CHEK1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	0	1	1	1
CHEK2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	1	1
CHST11	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
CLTCL1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	1	1	1	0	0
CNBP	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
CNOT3	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
CRKL	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	Clinical evidence	0	0	0	1	1	1
CSF3R	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
DCAF12L2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
DCC	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	1	1	1	1	0
DDX10	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
DDX6	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
DGCR8	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
DICER1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	0
EGFR	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Clinical evidence	1	1	1	1	1	1
EIF1AX	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	0	1
ELF4	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
EP300	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	1	1
EPCAM	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	0	1	0	1
ERC1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ERCC2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	0	1
ERRFI1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	0	1	0	1
ETV6	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	1	1	1	0	1
EWSR1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	0	1
FAM58A	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	0	1	0	0
FAT3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
FGFR2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	1	0	0	Preclinical	1	0	1	1	1	1
FHIT	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
FLI1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	0	1
FOXA1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	0	1
FOXR1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
FUBP1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	1
GNA11	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	0
GOLGA5	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
GPC3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
GPHN	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
HIF1A	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
HRAS	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	1	1
HSP90AA1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
ID3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
IRS4	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ISX	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
KCNJ5	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
KDM5A	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
KDSR	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
KLK2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
KTN1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
LCK	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
LIMK2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	0	1	0	1
LMNA	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
LZTR1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
MALT1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
MAML2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
MAPK1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	1	1	1	1	1
MAX	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	1	0
MDS2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
MECOM	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	1	1	1	1	1
MGMT	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
MKL1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
MLH3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	0	1	1	0
MLLT11	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
MN1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
MSH2	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	1	1
MTOR	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	1	1	1	1	0
MYH9	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
NF2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
NIN	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
NKX2-1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
NOTCH1	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	0	1
NUP214	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
PAFAH1B2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
PALB2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	0	0
PAX7	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
PDGFB	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	1	1
PGR	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	0	1	0	0
PHF6	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
PIK3CD	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	0	1	1	1
POLE2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	0	1	0	1
POU2AF1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
PPM1D	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	1
PRDM16	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
PRDM2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
PREX2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	0
PRKCB	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	1	1	1	1	1
PTEN	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Clinical evidence	1	1	1	1	1	0
PTPN6	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
QKI	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
RAD51B	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	0	1
RAD52	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	0	1	1	0
RIT1	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	0	1	0	1
RPL22	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
RPL5	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SDHB	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SDHD	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SEPT5	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SEPT6	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SESN2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	0	1	0	1
SETBP1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	1	1	1	0	1
SFPQ	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SIX1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SKI	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
SMAD2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	1	0
SMAD4	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	1	1	1	1	0
SMARCB1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	0
SPEN	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
STAG2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	0	1
SUZ12	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	1
TCL1A	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
TFPT	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
THRAP3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
TNFRSF14	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	1
TRIP11	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
TSHR	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
ZBTB16	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
ZNF331	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ZNF384	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ZNRF3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ZRSR2	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	0	0
BCL11B	Amplification		A204_SOFT_TISSUE	0	0	0	0		0	0	1	1	0	0
BCR	Deletion		A204_SOFT_TISSUE	1	0	0	0		0	0	1	1	1	1
CDC73	Deletion		A204_SOFT_TISSUE	0	0	0	0		0	0	1	1	0	0
ERBB3	Amplification		A204_SOFT_TISSUE	1	0	0	0		1	0	1	1	1	1
FGFR1	Deletion		A204_SOFT_TISSUE	1	1	0	0	Preclinical	1	0	1	1	1	1
MAPK1	Deletion		A204_SOFT_TISSUE	1	0	0	0		1	1	1	1	1	1
NRG1	Amplification		A204_SOFT_TISSUE	0	0	0	0		0	0	1	1	0	1
PTPRK	Deletion		A204_SOFT_TISSUE	0	0	0	0		0	0	1	1	0	1
SMARCB1	Deletion		A204_SOFT_TISSUE	0	0	0	0		1	0	1	1	0	0
BCL2	Deletion		A2058_SKIN	0	0	0	0		1	0	1	1	1	1
CDKN2A	Deletion		A2058_SKIN	1	1	1	0	Preclinical	1	0	1	1	1	1
CNTNAP2	Amplification		A2058_SKIN	0	0	0	0		0	0	1	1	0	1
DNMT1	Deletion		A2058_SKIN	0	0	0	0		1	0	0	1	0	1
FCGR2B	Amplification		A2058_SKIN	0	0	0	0		0	0	1	0	1	1
GNA11	Deletion		A2058_SKIN	0	0	0	0		1	0	1	1	0	0
HIP1	Deletion		A2058_SKIN	0	0	0	0		0	0	1	1	0	1
KEAP1	Deletion		A2058_SKIN	1	1	1	0	Preclinical	1	1	1	1	0	1
LRP1B	Deletion		A2058_SKIN	0	0	0	0		0	0	1	1	0	1
MUC16	Deletion		A2058_SKIN	0	0	0	0		0	0	1	1	0	1
PDE4DIP	Amplification		A2058_SKIN	0	0	0	0		0	0	1	1	0	1
PGR	Deletion		A2058_SKIN	0	0	0	0		1	1	0	1	0	0
RPTOR	Amplification		A2058_SKIN	0	0	0	0		1	0	0	1	0	0
SMAD4	Amplification		A2058_SKIN	0	0	0	0		1	1	1	1	1	0
STK11	Deletion		A2058_SKIN	0	0	0	0		1	0	1	1	0	1
TCF3	Deletion		A2058_SKIN	0	0	0	0		1	0	1	1	0	1
ZNF429	Deletion		A2058_SKIN	0	0	0	0		0	0	1	1	0	0
ARAF	Deletion		A253_SALIVARY_GLAND	1	0	0	0		1	0	1	1	1	1
ARHGEF10	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
BCL2	Deletion		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	1	1
BCOR	Deletion		A253_SALIVARY_GLAND	1	0	0	0		1	1	1	1	0	0
CCND1	Amplification		A253_SALIVARY_GLAND	1	1	1	0	Clinical evidence	1	1	1	1	1	1
CDH10	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
CTNND2	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
DCC	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	1	1	1	1	0
DDX3X	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	1	1	1	0	1
DGCR8	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
DROSHA	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
FAM47C	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
FHIT	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	1	1
GATA1	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	1	1	1	0	1
GPHN	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
GRM3	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
HIF1A	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	1	1
HIST1H1C	Deletion		A253_SALIVARY_GLAND	0	0	0	0		1	0	0	1	0	1
IL7R	Amplification		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	0	1
KDM5C	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	1	1	1	0	1
KDM6A	Deletion		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	0	0
KDSR	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
KTN1	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
LIFR	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
LMO2	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
LRP1B	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
MALT1	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
MAX	Amplification		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	1	0
MECOM	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	1	1	1	1	1
MLH3	Amplification		A253_SALIVARY_GLAND	1	0	0	0		0	0	0	1	1	0
PAX5	Deletion		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	0	1
PPFIBP1	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
RAD51B	Amplification		A253_SALIVARY_GLAND	1	0	0	0		0	0	1	1	0	1
RBM10	Deletion		A253_SALIVARY_GLAND	1	0	0	0		1	0	1	1	0	0
RICTOR	Amplification		A253_SALIVARY_GLAND	0	0	0	0		1	0	0	1	0	0
SDHA	Amplification		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	0	1
SEPT5	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
SETBP1	Deletion		A253_SALIVARY_GLAND	1	0	0	0		0	1	1	1	0	1
SIX1	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
SMAD2	Deletion		A253_SALIVARY_GLAND	0	0	0	0		1	0	1	1	1	0
SMAD4	Deletion		A253_SALIVARY_GLAND	0	0	0	0		1	1	1	1	1	0
SMC1A	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	1	1	1	0	1
SSX1	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
TERT	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
TFE3	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	0
TSHR	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
WAS	Deletion		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
WT1	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
ZNF521	Amplification		A253_SALIVARY_GLAND	0	0	0	0		0	0	1	1	0	1
AKT3	Deletion		A2780_OVARY	1	0	0	0		1	0	1	1	1	1
ARID1B	Deletion		A2780_OVARY	0	0	0	0		1	0	1	1	0	1
BCLAF1	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	0	1
ECT2L	Deletion		A2780_OVARY	0	0	0	0		0	1	1	1	0	0
ESR1	Deletion		A2780_OVARY	1	1	0	0	Clinical evidence	1	0	1	1	1	1
EZR	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	0	0
FGFR1OP	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	0	0
FHIT	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	1	1
FOXO3	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	1	0
GOPC	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	0	0
ITGAV	Amplification		A2780_OVARY	0	0	0	0		0	0	1	1	1	1
MLLT4	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	0	0
MYB	Deletion		A2780_OVARY	0	0	0	0		0	0	1	1	0	1
