feature	partner	which_match	model_id	feature_match	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
COL1A1	COL1A2	COL1A1	SIDM00947	3	1	1	1	0	Guideline	0	0	1	1	0	1
COL1A1	COL3A1	COL1A1	SIDM00947	3	1	1	1	0	Guideline	0	0	1	1	0	1
ERG	EWSR1	EWSR1	SIDM00961	3	1	1	1	0	Guideline	1	0	1	1	0	1
EWSR1	SMCO4	EWSR1	SIDM01111	3	1	1	1	0	Guideline	0	0	1	1	0	1
CREM	EWSR1	EWSR1	SIDM01228	3	1	1	1	0	Guideline	0	0	0	1	0	1
EML4	PKDCC	EML4	SIDM01240	3	1	1	1	0	Guideline	0	0	1	1	0	1
ABL1	BCR	ABL1	SIDM00308	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM00346	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM00526	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM00791	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM00958	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM00962	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM01004	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM01015	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM01047	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM01176	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
ABL1	BCR	ABL1	SIDM01217	4	1	1	1	1	FDA-Approved	0	0	1	1	1	0
FGFR2	PAMR1	FGFR2	SIDM00045	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
ALK	NPM1	ALK	SIDM00096	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ALK	EML4	ALK	SIDM00137	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ALK	ERF	ALK	SIDM00175	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
COL14A1	FGFR2	FGFR2	SIDM00187	3	1	1	1	0	FDA-Approved	0	0	0	1	0	0
ROS1	RWDD1	ROS1	SIDM00241	3	1	1	1	0	FDA-Approved	0	0	1	1	0	1
CCDC6	RET	RET	SIDM00297	3	1	1	1	0	FDA-Approved	0	0	1	1	1	0
BCR	CES5AP1	BCR	SIDM00301	3	1	1	1	0	FDA-Approved	0	0	1	1	1	1
ABHD2	BCR	BCR	SIDM00319	3	1	1	1	0	FDA-Approved	0	0	0	1	0	1
ATE1	FGFR2	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	0	0	0	1	0	1
CASC11	FGFR2	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	0	0	0	0	0	0
CRYBG1	FGFR2	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	0	0	0	0	0	0
FGFR2	MAP2K3	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
FGFR2	PVT1	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
FGFR2	SPECC1	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
FGFR2	LINC01153	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
FGFR2	LY75	FGFR2	SIDM00332	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
ALK	TFG	ALK	SIDM00384	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ALK	NPM1	ALK	SIDM00390	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
FGFR3	TACC3	FGFR3	SIDM00402	3	1	1	1	0	FDA-Approved	1	1	1	1	1	1
ALK	NPM1	ALK	SIDM00421	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
FGFR2	SNX19	FGFR2	SIDM00687	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
FGFR2	LINC01153	FGFR2	SIDM00687	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
FGFR2	ULK4	FGFR2	SIDM00687	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
COL14A1	FGFR2	FGFR2	SIDM00711	3	1	1	1	0	FDA-Approved	0	0	0	1	0	0
ALK	EML4	ALK	SIDM00729	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ALK	PTPN3	ALK	SIDM00729	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
COL14A1	FGFR2	FGFR2	SIDM00779	3	1	1	1	0	FDA-Approved	0	0	0	1	0	0
FGFR2	MRPL13	FGFR2	SIDM00779	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
ABL1	CBFB	ABL1	SIDM00799	3	1	1	1	0	FDA-Approved	0	0	1	1	1	0
ABL1	GINS3	ABL1	SIDM00799	3	1	1	1	0	FDA-Approved	0	0	1	1	1	0
ALK	NPM1	ALK	SIDM00949	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
COL14A1	FGFR2	FGFR2	SIDM00955	3	1	1	1	0	FDA-Approved	0	0	0	1	0	0
ABL1	NUP214	ABL1	SIDM00994	3	1	1	1	0	FDA-Approved	0	0	1	1	1	0
ALK	TERT	ALK	SIDM01009	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
ALK	NPM1	ALK	SIDM01010	3	1	1	1	0	FDA-Approved	1	0	1	1	0	0
BCR	PI4KA	BCR	SIDM01061	3	1	1	1	0	FDA-Approved	0	0	1	1	1	1
COL14A1	FGFR2	FGFR2	SIDM01067	3	1	1	1	0	FDA-Approved	0	0	0	1	0	0
ROS1	SLC34A2	ROS1	SIDM01068	3	1	1	1	0	FDA-Approved	0	0	1	1	0	1
FGFR3	TACC3	FGFR3	SIDM01085	3	1	1	1	0	FDA-Approved	1	1	1	1	1	1
ATE1	FGFR2	FGFR2	SIDM01098	3	1	1	1	0	FDA-Approved	0	0	0	1	0	1
ATE1	FGFR2	FGFR2	SIDM01145	3	1	1	1	0	FDA-Approved	0	0	0	1	0	1
FGFR2	PLPP4	FGFR2	SIDM01145	3	1	1	1	0	FDA-Approved	1	0	1	1	1	1
BAIAP2L1	FGFR3	FGFR3	SIDM01160	3	1	1	1	0	FDA-Approved	0	0	0	1	0	1
ABL1	NUP214	ABL1	SIDM01245	3	1	1	1	0	FDA-Approved	0	0	1	1	1	0
ROS1	SLC34A2	ROS1	SIDM01251	3	1	1	1	0	FDA-Approved	0	0	1	1	0	1
NTRK1	TPM3	NTRK1	SIDM00150	2	1	1	0	0	FDA-Approved	0	0	1	1	1	1
NADSYN1	PDGFRA	PDGFRA	SIDM01248	2	1	1	0	0	FDA-Approved	0	0	0	1	0	1
ERG	TMPRSS2	ERG	SIDM01077	4	1	1	1	1	Clinical trial	1	0	1	1	0	1
ERG	TMPRSS2	ERG	SIDM01123	4	1	1	1	1	Clinical trial	1	0	1	1	0	1
ERG	ITSN1	ERG	SIDM00550	3	1	1	1	0	Clinical trial	1	0	1	1	0	1
NSD2	ZNF677	NSD2	SIDM00203	3	1	1	1	0	Clinical evidence	0	0	0	0	0	0
IGHG4	NSD2	NSD2	SIDM00340	3	1	1	1	0	Clinical evidence	0	0	0	0	0	0
GRK4	NSD2	NSD2	SIDM00402	3	1	1	1	0	Clinical evidence	0	0	0	1	0	0
IGHG1	NSD2	NSD2	SIDM00457	3	1	1	1	0	Clinical evidence	0	0	0	0	0	0
IGHG1	NSD2	NSD2	SIDM01148	3	1	1	1	0	Clinical evidence	0	0	0	0	0	0
IGHJ3	NSD2	NSD2	SIDM01148	3	1	1	1	0	Clinical evidence	0	0	0	0	0	0
CCND1	MYEOV	CCND1	SIDM00619	2	1	1	0	0	Clinical evidence	1	1	1	1	1	1
MYC	PVT1	MYC	SIDM00026	1	1	0	0	0		1	0	1	1	1	1
CDKN2A	MTAP	CDKN2A	SIDM00095	1	1	0	0	0		1	0	1	1	1	1
NF1	RAB11FIP4	NF1	SIDM00105	1	1	0	0	0		1	0	1	1	0	0
KRAS	UBE2L3	KRAS	SIDM00120	1	1	0	0	0		1	1	1	1	1	1
BRIP1	TAF4	BRIP1	SIDM00148	1	1	0	0	0		0	0	1	1	0	1
AHCYL1	RAD51C	RAD51C	SIDM00148	1	1	0	0	0		0	0	0	1	0	1
DNAJC8	ERBB2	ERBB2	SIDM00154	1	1	0	0	0		0	0	0	1	0	0
CDKN2A	LLPH-DT	CDKN2A	SIDM00201	1	1	0	0	0		1	0	1	1	1	1
MLH3	TCF12	MLH3	SIDM00225	1	1	0	0	0		0	0	0	1	1	0
MYC	OXR1	MYC	SIDM00245	1	1	0	0	0		1	0	1	1	1	1
CAPZA2	MET	MET	SIDM00247	1	1	0	0	0		0	0	0	1	0	1
PRPF6	TP53	TP53	SIDM00256	1	1	0	0	0		0	0	0	1	0	1
MYC	ZFHX3	MYC	SIDM00258	1	1	0	0	0		1	0	1	1	1	1
MYC	PVT1	MYC	SIDM00284	1	1	0	0	0		1	0	1	1	1	1
CSMD3	MYC	MYC	SIDM00293	1	1	0	0	0		0	0	1	1	0	1
CLVS1	MYC	MYC	SIDM00294	1	1	0	0	0		0	0	0	1	0	0
GPCPD1	MYC	MYC	SIDM00294	1	1	0	0	0		0	0	0	1	0	1
CLIP2	RB1	RB1	SIDM00304	1	1	0	0	0		0	0	0	1	0	1
PAPSS2	PTEN	PTEN	SIDM00316	1	1	0	0	0		0	0	0	1	0	1
NF1	TLL2	NF1	SIDM00323	1	1	0	0	0		1	0	1	1	0	0
ARID1A	UACA	ARID1A	SIDM00358	1	1	0	0	0		1	0	1	1	0	1
EZH2	IGLL5	EZH2	SIDM00364	1	1	0	0	0		1	0	1	1	0	1
NF1	RAB11FIP4	NF1	SIDM00383	1	1	0	0	0		1	0	1	1	0	0
FNDC3A	RB1	RB1	SIDM00445	1	1	0	0	0		0	0	0	1	0	0
POFUT2	RAD51B	RAD51B	SIDM00465	1	1	0	0	0		0	0	0	1	0	0
POFUT2	RAD51B	RAD51B	SIDM00466	1	1	0	0	0		0	0	0	1	0	0
MYC	PVT1	MYC	SIDM00469	1	1	0	0	0		1	0	1	1	1	1
MACO1	NF1	NF1	SIDM00490	1	1	0	0	0		0	0	0	0	0	0
MYC	PVT1	MYC	SIDM00509	1	1	0	0	0		1	0	1	1	1	1
C12orf56	RBM10	RBM10	SIDM00510	1	1	0	0	0		0	0	0	1	0	0
CDK12	TMEM104	CDK12	SIDM00528	1	1	0	0	0		1	0	1	1	0	0
BLM	PIAS1	BLM	SIDM00530	1	1	0	0	0		0	0	1	1	1	1
IDH2	VPS13C	IDH2	SIDM00530	1	1	0	0	0		1	0	1	1	0	1
LDLR	SMARCA4	SMARCA4	SIDM00534	1	1	0	0	0		0	0	0	1	0	1
NF1	SH2D3C	NF1	SIDM00542	1	1	0	0	0		1	0	1	1	0	0
RAD51B	SMOC1	RAD51B	SIDM00543	1	1	0	0	0		0	0	1	1	0	1
MAPK1	YDJC	MAPK1	SIDM00547	1	1	0	0	0		1	1	1	1	1	1
MAP2K2	ZBTB7A	MAP2K2	SIDM00550	1	1	0	0	0		1	0	1	1	1	1
CDK12	PGAP3	CDK12	SIDM00560	1	1	0	0	0		1	0	1	1	0	0
CEP70	PIK3CB	PIK3CB	SIDM00560	1	1	0	0	0		0	0	0	1	0	0
PRPF8	USP43	PRPF8	SIDM00560	1	1	0	0	0		0	0	0	1	0	1
CFTR	MET	MET	SIDM00570	1	1	0	0	0		0	0	0	1	0	0
IL12RB1	MEGF8	IL12RB1	SIDM00584	1	1	0	0	0		0	0	0	1	0	1
CAB39	TP53	TP53	SIDM00599	1	1	0	0	0		0	0	0	1	0	1
CDKN2A	CDKN2B-AS1	CDKN2A	SIDM00615	1	1	0	0	0		1	0	1	1	1	1
EXOSC10	MTOR	MTOR	SIDM00619	1	1	0	0	0		0	0	0	1	0	1
AATK	PBRM1	PBRM1	SIDM00619	1	1	0	0	0		0	0	0	1	0	0
MIR940	TSC2	TSC2	SIDM00625	1	1	0	0	0		0	0	0	0	0	0
EXOSC10	MTOR	MTOR	SIDM00629	1	1	0	0	0		0	0	0	1	0	1
BLM	CTIF	BLM	SIDM00631	1	1	0	0	0		0	0	1	1	1	1
HERC1	MAP2K1	MAP2K1	SIDM00644	1	1	0	0	0		0	0	0	1	0	0
CHEK2	TTC28	CHEK2	SIDM00650	1	1	0	0	0		1	0	1	1	1	1
PCNX1	RAD51B	RAD51B	SIDM00676	1	1	0	0	0		0	0	0	0	0	0
MSH2	MSH6	MSH6	SIDM00683	1	1	0	0	0		1	0	1	1	1	1
FARSA	SMARCA4	SMARCA4	SIDM00703	1	1	0	0	0		0	0	0	1	0	1
LDLR	SMARCA4	SMARCA4	SIDM00711	1	1	0	0	0		0	0	0	1	0	1
AKT3	MYCL	AKT3	SIDM00741	1	1	0	0	0		1	0	1	1	1	1
AKT3	TRIT1	AKT3	SIDM00741	1	1	0	0	0		1	0	1	1	1	1
CHEK2	PLA2G6	CHEK2	SIDM00744	1	1	0	0	0		1	0	1	1	1	1
BRIP1	POLDIP2	BRIP1	SIDM00772	1	1	0	0	0		0	0	1	1	0	1
DNMT1	KEAP1	KEAP1	SIDM00774	1	1	0	0	0		1	0	0	1	0	1
EZH2	MECOM	EZH2	SIDM00782	1	1	0	0	0		1	0	1	1	0	1
FGFR1	FGFR1OP2	FGFR1	SIDM00785	1	1	0	0	0		1	0	1	1	1	1
GRIA3	STAG2	STAG2	SIDM00785	1	1	0	0	0		0	0	0	1	0	1
MOSMO	PALB2	PALB2	SIDM00799	1	1	0	0	0		0	0	0	0	0	0
EXOC2	MET	MET	SIDM00806	1	1	0	0	0		0	0	0	1	0	1
AKT3	SMYD3	AKT3	SIDM00816	1	1	0	0	0		1	0	1	1	1	1
RAD51B	SUSD6	RAD51B	SIDM00831	1	1	0	0	0		0	0	1	1	0	1
MYC	PVT1	MYC	SIDM00842	1	1	0	0	0		1	0	1	1	1	1
ARID1A	DAPK2	ARID1A	SIDM00847	1	1	0	0	0		1	0	1	1	0	1
ERBB3	ZC3H7B	ERBB3	SIDM00875	1	1	0	0	0		1	0	1	1	1	1
ERBB2	MMP16	ERBB2	SIDM00882	1	1	0	0	0		1	0	1	1	1	1
AKT2	DBP	AKT2	SIDM00892	1	1	0	0	0		0	0	1	1	1	1
AFG3L1P	MC1R	MC1R	SIDM00928	1	1	0	0	0		0	0	0	0	0	0
ERRFI1	SSR2	ERRFI1	SIDM00938	1	1	0	0	0		1	0	0	1	0	1
LRIG3	MDM2	MDM2	SIDM00940	1	1	0	0	0		0	0	1	1	0	0
PIP4K2B	RAD51C	RAD51C	SIDM00963	1	1	0	0	0		0	0	0	1	0	1
MYC	PVT1	MYC	SIDM00990	1	1	0	0	0		1	0	1	1	1	1
BRCA1	EZH1	BRCA1	SIDM00998	1	1	0	0	0		0	0	1	1	1	1
CDC37L1	JAK2	JAK2	SIDM01027	1	1	0	0	0		0	0	0	1	0	0
ATM	UVRAG	ATM	SIDM01028	1	1	0	0	0		1	0	1	1	1	1
CDK12	PRIM2	CDK12	SIDM01028	1	1	0	0	0		1	0	1	1	0	0
MIR1204	MYC	MYC	SIDM01097	1	1	0	0	0		0	0	0	0	0	0
MYC	PVT1	MYC	SIDM01097	1	1	0	0	0		1	0	1	1	1	1
CCDC57	CCNE1	CCNE1	SIDM01116	1	1	0	0	0		0	0	0	1	0	0
ILF3	SMARCA4	SMARCA4	SIDM01120	1	1	0	0	0		0	0	0	1	0	1
CDK12	ERBB2	CDK12	SIDM01147	1	1	0	0	0		1	0	1	1	0	0
CHIC2	KIT	KIT	SIDM01164	1	1	0	0	0		0	0	1	1	0	0
CTBP2	PTEN	PTEN	SIDM01172	1	1	0	0	0		0	0	0	1	1	1
MET	ST7	MET	SIDM01174	1	1	0	0	0		1	0	1	1	1	1
CDK12	FBXL20	CDK12	SIDM01186	1	1	0	0	0		1	0	1	1	0	0
AKT3	WARS2	AKT3	SIDM01187	1	1	0	0	0		1	0	1	1	1	1
ERBB2	WIPF2	ERBB2	SIDM01187	1	1	0	0	0		1	0	1	1	1	1
POLE2	RPS29	POLE2	SIDM01191	1	1	0	0	0		0	0	0	1	0	1
EXOSC10	MTOR	MTOR	SIDM01205	1	1	0	0	0		0	0	0	1	0	1
EIF5A	HMGN2	EIF5A	SIDM00003	0	0	0	0	0		0	0	0	1	0	1
MYMK	RRBP1	MYMK	SIDM00003	0	0	0	0	0		0	0	0	0	0	0
MAPK1	PRAME	PRAME	SIDM00003	0	0	0	0	0		1	1	1	1	1	1
LARGE1	SHISA8	SHISA8	SIDM00003	0	0	0	0	0		0	0	0	0	0	0
FAM91A1	SORD	SORD	SIDM00003	0	0	0	0	0		0	0	0	1	0	0
NCOR2	UBC	UBC	SIDM00003	0	0	0	0	0		0	0	1	1	0	0
GPC5	GPC6	GPC5	SIDM00006	0	0	0	0	0		0	0	1	1	0	1
SHROOM2	TBL1X	SHROOM2	SIDM00006	0	0	0	0	0		0	0	0	1	0	1
RCC1	UBE2D2	UBE2D2	SIDM00006	0	0	0	0	0		0	0	0	1	0	1
RIPK1	SERPINB9	SERPINB9	SIDM00009	0	0	0	0	0		0	0	0	1	0	1
IGSF3	KRIT1	IGSF3	SIDM00018	0	0	0	0	0		0	0	0	1	0	1
CAMK2G	KCNJ10	KCNJ10	SIDM00018	0	0	0	0	0		0	0	0	1	1	0
MEIS2	WDR72	WDR72	SIDM00018	0	0	0	0	0		0	0	0	1	0	1
CASC8	CCAT1	CASC8	SIDM00023	0	0	0	0	0		0	0	0	0	0	0
MIGA2	SLC25A25	MIGA2	SIDM00023	0	0	0	0	0		0	0	0	0	0	0
KIF13A	MTHFD1	MTHFD1	SIDM00023	0	0	0	0	0		0	0	0	1	0	1
C3orf52	WDR38	WDR38	SIDM00023	0	0	0	0	0		0	0	0	1	0	0
ABHD12B	RCC1	ABHD12B	SIDM00025	0	0	0	0	0		0	0	0	1	0	0
C9orf3	MIR205HG	C9orf3	SIDM00025	0	0	0	0	0		0	0	0	1	0	0
DOCK4	IMMP2L	DOCK4	SIDM00025	0	0	0	0	0		0	0	0	1	0	0
OSR2	STK3	OSR2	SIDM00025	0	0	0	0	0		0	0	0	1	0	0
CDKN2B-AS1	MTAP	CDKN2B-AS1	SIDM00026	0	0	0	0	0		0	0	0	0	0	0
DHCR24	SSBP3	DHCR24	SIDM00026	0	0	0	0	0		0	0	0	1	0	1
ARL17B	KANSL1	ARL17B	SIDM00027	0	0	0	0	0		0	0	0	1	0	0
ARHGEF38	GSTCD	ARHGEF38	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
ARL6	CRYBG3	ARL6	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
C3orf84	LAMB2	C3orf84	SIDM00040	0	0	0	0	0		0	0	0	0	0	0
CASC21	PVT1	CASC21	SIDM00040	0	0	0	0	0		0	0	0	0	0	0
CASC21	UBR4	CASC21	SIDM00040	0	0	0	0	0		0	0	0	0	0	0
CASC8	PVT1	CASC8	SIDM00040	0	0	0	0	0		0	0	0	0	0	0
CHRM3	GUK1	CHRM3	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
COQ2	SEC31A	COQ2	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
CYP4F26P	UBE2R2	CYP4F26P	SIDM00040	0	0	0	0	0		0	0	0	0	0	0
ANKHD1	CYSTM1	CYSTM1	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
DLEC1	OXSR1	DLEC1	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
DHDDS	FAM76A	FAM76A	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
ARHGAP42	HLA-B	HLA-B	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
KDM4A	ST3GAL3	KDM4A	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
LGI4	UBA2	LGI4	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
FLNB	MCC	MCC	SIDM00040	0	0	0	0	0		0	1	0	1	0	1
GFPT1	NFU1	NFU1	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
KMT2C	PRKAG2	PRKAG2	SIDM00040	0	0	0	0	0		1	1	1	1	0	0
ESF1	RASSF2	RASSF2	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
C1orf131	RGS7	RGS7	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
RNF125	RNF138	RNF125	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
CSNK1G2	SCAMP4	SCAMP4	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
CYB561D2	SEMA3F	SEMA3F	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
RABGAP1L	SUCO	SUCO	SIDM00040	0	0	0	0	0		0	1	0	1	0	0
RNF223	TTC34	TTC34	SIDM00040	0	0	0	0	0		0	0	0	1	0	0
SBF1	TYMP	TYMP	SIDM00040	0	0	0	0	0		0	0	0	1	0	1
ACAP2	KALRN	KALRN	SIDM00041	0	0	0	0	0		0	0	0	1	0	1
C1QTNF1	LMNTD1	LMNTD1	SIDM00041	0	0	0	0	0		0	0	0	1	0	0
DDX10	MAP3K2	MAP3K2	SIDM00041	0	0	0	0	0		0	0	1	1	0	1
PASD1	VBP1	PASD1	SIDM00041	0	0	0	0	0		0	0	0	1	0	0
CYP27C1	SDHD	SDHD	SIDM00041	0	0	0	0	0		0	0	0	1	0	0
UBXN7	VGLL4	UBXN7	SIDM00041	0	0	0	0	0		0	0	0	1	0	0
CASC8	CCAT1	CASC8	SIDM00042	0	0	0	0	0		0	0	0	0	0	0
CASC8	LRRN1	CASC8	SIDM00042	0	0	0	0	0		0	0	0	0	0	0
