# https://www.nature.com/gim/journal/v19/n2/fig_tab/gim2016190t1.html							
# Table 1: ACMG SF v2.0 genes and associated phenotypes recommended for return of secondary findings in clinical sequencing							
Phenotype	MIM disorder	PMID Gene Reviews entry	Typical age of onset	Gene	MIM Gene	Inheritance	Variants to report
Hereditary paraganglioma-phenochromocytoma syndrome	605373 (PGL3)	20301715	Child / Adult	SDHC	602413	AD	KP and EP
Hereditary paraganglioma-phenochromocytoma syndrome	115310 (PGL4)	20301715	Child / Adult	SDHB	185470	AD	KP and EP
Tuberous sclerosis complex	191100	20301399	Child	TSC1	605284	AD	KP and EP
Tuberous sclerosis complex	613254	20301399	Child	TSC2	191092	AD	KP and EP
WT1-related Wilms tumor	194070	20301471	Child	WT1	607102	AD	KP and EP
Neurofibromatosis type 2	101100	20301380	Child / Adult	NF2	607379	AD	KP and EP
"Ehlers-Danlos syndrome, vascular type"	130050	20301667	Child / Adult	COL3A1	120180	AD	KP and EP
"Marfan syndrome, Loeys-Dietz syndromes, and familial thoracic aortic aneurysms and dissections"	154700	20301510	Child / Adult	FBN1	134797	AD	KP and EP
"Marfan syndrome, Loeys-Dietz syndromes, and familial thoracic aortic aneurysms and dissections"	609192	20301312	Child / Adult	TGFBR1	190181	AD	KP and EP
"Marfan syndrome, Loeys-Dietz syndromes, and familial thoracic aortic aneurysms and dissections"	608967	20301299	Child / Adult	TGFBR2	190182	AD	KP and EP
"Marfan syndrome, Loeys-Dietz syndromes, and familial thoracic aortic aneurysms and dissections"	610168	20301299	Child / Adult	SMAD3	603109	AD	KP and EP
"Marfan syndrome, Loeys-Dietz syndromes, and familial thoracic aortic aneurysms and dissections"	610380	20301299	Child / Adult	ACTA2	102620	AD	KP and EP
"Marfan syndrome, Loeys-Dietz syndromes, and familial thoracic aortic aneurysms and dissections"	613795; 611788	20301299	Child / Adult	MYH11	160745	AD	KP and EP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	115197	20301725	Child / Adult	MYPBC3	600958	AD	KP and EP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	192600	20301725	Child / Adult	MYH7	160760	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	601494	20301725	Child / Adult	TNNT2	191045	AD	KP and EP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	613690	20301725	Child / Adult	TNNI3	191044	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	115196	20301725	Child / Adult	TPM1	191010	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	608751	20301725	Child / Adult	MYL3	160790	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	612098	20301725	Child / Adult	ACTC1	102540	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	600858	20301725	Child / Adult	PRKAG2	602743	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	301500	20301725	Child / Adult	GLA	300644	XL	KP and EP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	608758	20301725	Child / Adult	MYL2	160781	AD	"(hemi, het, hom)"
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	115200	20301725	Child / Adult	LMNA	150330	AD	"(hemi, het, hom)"
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	115200	20301725	Child / Adult	LMNA	150330	AD	KP
"Hypertrophic cardiomyopathy, dilated cardiomyopathy"	115200	20301725	Child / Adult	LMNA	150330	AD	KP and EP
Catecholaminergic polymorphic ventricular tachycardia	604772			RYR2	180902	AD	KP
Arrhythmogenic right ventricular cardiomyopathy	609040	20301310	Child / Adult	PKP2	602861	AD	KP and EP
Arrhythmogenic right ventricular cardiomyopathy	604400	20301310	Child / Adult	DSP	125647	AD	KP
Arrhythmogenic right ventricular cardiomyopathy	610476	20301310	Child / Adult	DSC2	125645	AD	KP and EP
Arrhythmogenic right ventricular cardiomyopathy	607450	20301310	Child / Adult	TMEM43	612048	AD	KP and EP
Arrhythmogenic right ventricular cardiomyopathy	610193	20301310	Child / Adult	DSG2	125671	AD	KP and EP
"Romano-Ward long-QT syndrome types 1,2, and 3, Brugada syndrome"	192500	20301308	Child / Adult	KCNQ1	607542	AD	KP and EP
"Romano-Ward long-QT syndrome types 1,2, and 3, Brugada syndrome"	613688	20301308	Child / Adult	KCNH2	152427	AD	KP and EP
"Romano-Ward long-QT syndrome types 1,2, and 3, Brugada syndrome"	603830; 601144	20301308	Child / Adult	SCN5A	600163	AD	KP and EP
Familial hypercholesterolemia	143890		Child / Adult	LDLR	607542	SD	KP and EP
Familial hypercholesterolemia	603776		Child / Adult	APOB	152427	SD	KP
Familial hypercholesterolemia	603776		Child / Adult	PCSK9	600163	AD	KP
Wilson disease	277900	20301685	Child	ATP7B	606882	AR	KP and EP
Ornithine transcarbamylase deficiency	311250	24006547	"Newborn (male), child (female)"	OTC	300461	XL	"KP and EP (hemo, het, hom)"
Malignant hyperthermia susceptibility	145600	20301325	Child / Adult	RYR1	180901	AD	KP
Malignant hyperthermia susceptibility	145600	20301325	Child / Adult	CACNA1S	114208	AD	KP
